,name,manufacturer,product,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
75,rect******,쁘리엘르,침구,2021.06.16,5,손바닥이 보일정도로 얇고 까슬까슬한 느낌이좋아요. 혼자덥고잘려고 제일작은사이즈샀는데 조금넉넉하니좋아요,0,56,0,0,0
76,silk****,쁘리엘르,침구,2021.06.17,5,화면보다 실제 색이 훨씬 화사하고 예뻐요 사진으로는 색감이 잘 안잡히네요 암튼 실물이 훨 예쁨 잘 샀어요,0,58,0,0,0
77,remo***,쁘리엘르,침구,2021.07.01,5,동영상 색이 이상하게나와서 그렇치 색상이뻐요 근데 물이빠지나봐요 상표?테그?가 이염되었네요 단독세탁 꼭하시길바래요 제가원하던 면 100 프로라서 만족합니다,0,86,0,0,0
78,aklr******,쁘리엘르,침구,2021.07.02,5,일단 디자인은 여름과 맞게 싱그럽고 두께는 얇고 가벼워서 새벽에 쌀쌀하겠다 싶었는데 전혀 안그렇고 여름이불로 적절하게 좋습니다,0,70,0,0,0
79,whrl*****,쁘리엘르,침구,2021.06.30,5,간절기용으로 아주아주 딱이예요 손님이 급하게 오신다기에 예비이불산건데 남편이 원래이불 안덮구 이거덮네요 ㅋㅋ,0,60,0,0,0
80,hori****,쁘리엘르,침구,2021.06.17,5,택배오자마자 뜯어서 집에있는 베개에 끼여봤는데 너무 좋아요. 정말 저렴한 가격에 너무 만족합니다. 감사합니다^^,0,62,2,0,0
81,love****,쁘리엘르,침구,2021.06.22,5,화면이 너무 허옇ㄱㅔ 나왔지만 예쁜 그린 색입니다 여름철 깔고 자기에 딱좋아요 까슬하지만 시원한 느낌이 넘 좋앙ㆍ,0,63,1,0,0
82,sorr*******,쁘리엘르,침구,2021.06.22,5,"느렸지만 ㅋㅋ 그래도 상품은 좋으네요오 잘쓸게요오~ ㅈ감사요오 ㅎㅎ 시원해서인지, 살결에 잘안달라붙고 좋아요오 ㅋ 쿠폰써서 잘샀네영",0,73,1,0,0
83,misu*****,쁘리엘르,침구,2021.06.18,5,그린색이 들어가 시원해보이고 인견이라 정말시원합니다 작년에 블라썸쓰고 하나더 주문,0,45,0,0,0
84,dlwl*******,쁘리엘르,침구,2021.07.13,5,배송 진짜 빨라요 ㅎ 재질도 부들하고 얇아서 여름용으로 딱이예요^^ 딸아이가 좋아하는 노란 꽃 디자인이라 더 맘에 듭니다^^,0,69,4,0,0
85,silv******,쁘리엘르,침구,2021.06.17,5,딱 여름 시어커서 이불입니다~ 시원해보이고 얇고 가볍고~좋네요^^ 가격도 착하니 배송도 빨랐어요. 아이 방에 주니 좋아합니다ㅎ,0,70,4,0,0
86,ems9***,쁘리엘르,침구,2021.06.26,5,침대 위에 패드로 쓰려고 구매했는데 생각보다는 좀 얇은감이 있어요. 그래도 앞뒤로 사용할수도 있고 여름에 덮는 이불로 사용할수도있을것 같아요.,0,79,0,0,0
87,ems9***,쁘리엘르,침구,2021.06.26,5,"딸, 아들 침대 패드에 깔아 사용중입니다. 딸 아이는 뒷면 블루로 사용하고 있는덕 깔끔해요. 좀 얇아서 아쉽기는 한데 가격이 저렴한 편이어서 만족합니다.",0,85,0,0,0
88,bang**************,쁘리엘르,침구,2021.06.20,5,부모님께 보내드렸는데 아주 좋아하셔서 기분이 너무 좋네요..가볍고 화사하고 좋습니다.,0,47,0,0,0
