,product_review_index,product_index,category_index,review_date,review_rating,newline_count,review_len,special_char_count,manufacturer_count,product_count,review_score,c1
105763,11648,96199,86123,2020-04-29,5,17,346,38,2,4,99,4.23121387283237
105772,11649,96199,86123,2020-08-12,5,16,324,33,2,2,99,3.3858024691358026
105781,11650,96199,86123,2020-04-22,5,17,336,30,2,2,99,2.7023809523809526
105790,11651,96199,86123,2021-05-29,5,34,285,51,0,3,99,9.16140350877193
105798,11652,96199,86123,2020-03-08,5,18,349,33,2,4,99,3.177650429799427
105830,11656,71876,61422,2021-06-29,5,25,872,93,2,3,99,9.93348623853211
105847,11658,96199,86123,2020-03-16,5,17,326,36,2,2,99,4.0
105854,11659,71876,61422,2021-06-15,5,66,1152,33,16,8,99,1.2230902777777777
105862,11660,71876,61422,2021-06-14,5,58,1262,32,2,13,99,0.9484944532488114
105870,11661,71876,61422,2021-06-23,5,123,710,48,0,11,99,3.416901408450704
105871,11661,96199,86123,2020-08-03,5,18,309,40,2,6,99,5.307443365695793
105886,11663,71876,61422,2021-05-02,5,32,804,95,0,3,99,11.237562189054726
105895,11664,96199,86123,2020-04-06,5,17,298,35,2,2,99,4.1375838926174495
105919,11667,71876,61422,2021-04-16,5,54,1155,72,12,11,99,4.717748917748918
105935,11669,71876,61422,2021-03-12,5,67,1102,29,10,13,99,1.0072595281306715
105936,11669,96199,86123,2020-07-29,5,14,265,37,2,5,99,5.275471698113208
105967,11673,71876,61422,2021-06-15,5,38,440,55,0,2,99,6.886363636363637
105968,11673,96199,86123,2020-01-05,5,37,808,70,4,10,99,6.207920792079208
105983,11675,71876,61422,2021-01-21,5,51,1019,43,0,8,99,1.8783120706575074
105992,11676,96199,86123,2020-06-23,5,12,243,33,2,2,99,4.51440329218107
106000,11677,96199,86123,2020-04-03,5,15,245,29,2,2,99,3.4653061224489794
106015,11679,71876,61422,2020-11-09,5,66,1603,37,22,12,99,1.245789145352464
106023,11680,71876,61422,2020-10-08,5,63,1243,32,2,9,99,0.8921962992759453
106048,11683,96199,86123,2019-12-12,5,11,242,34,4,3,99,4.880165289256198
106055,11684,71876,61422,2020-07-03,5,38,836,31,0,6,99,1.19377990430622
106087,11688,71876,61422,2020-04-16,5,120,20000,323,10,42,99,5.30965
106103,11690,71876,61422,2020-04-14,5,57,1187,37,2,8,99,1.2106149957877002
106119,11692,71876,61422,2020-04-15,5,35,1186,39,0,1,99,1.2841483979763912
106135,11694,71876,61422,2020-03-11,5,27,1118,29,0,0,99,0.7540250447227191
106143,11695,71876,61422,2020-02-16,5,135,13420,244,8,24,99,4.484053651266766
106151,11696,71876,61422,2020-03-29,5,133,18150,306,12,22,99,5.193608815426997
106159,11697,71876,61422,2020-01-23,5,48,849,37,0,3,99,1.624263839811543
106167,11698,71876,61422,2020-02-26,5,25,823,42,4,1,99,2.164034021871203
106199,11702,71876,61422,2020-05-30,5,72,1154,42,10,9,99,1.6854419410745234
106287,11713,71876,61422,2021-05-02,5,39,1399,32,8,5,99,0.7955682630450321
